472276	sp1	856.41	44.66	30.69	12564532
477068	sp1	858.71	40.20	30.71	12747248
478933	sp1	855.86	40.59	31.01	12917908
483275	sp1	856.09	41.67	30.49	12428444
483935	sp1	855.13	46.19	30.64	12414308
494956	sp1	859.34	44.92	31.17	12847548
509274	sp1	855.67	50.27	30.34	12638472
527687	sp1	985.37	49.80	32.49	15746536
554098	sp1	998.40	51.17	31.69	15831688
567685	sp1	1000.46	55.88	33.27	15611436
570143	sp1	1007.74	47.15	31.73	15638696
570376	sp1	1002.13	51.08	31.42	15871256
571676	sp1	1001.08	45.59	31.41	15873084
597218	sp1	1001.57	56.55	31.19	16125112
627280	sp1	1009.56	47.69	33.13	15687088
662749	sp1	1263.46	50.40	35.35	18196472
672025	sp1	1249.59	54.80	35.07	21580444
692119	sp1	1264.50	64.43	36.1	21284944
703503	sp1	1270.95	61.46	35.8	21323884
704853	sp1	1253.03	64.28	35.71	21609360
705079	sp1	1261.35	67.06	35.23	21122860
726435	sp1	1271.90	58.84	34.92	18505772
731564	sp1	1269.20	64.89	35.92	21466748
737017	sp1	1256.54	58.36	36.24	22202972
742682	sp1	1267.50	63.71	35.57	21533844
743292	sp1	1262.00	60.02	35.44	20702312
746144	sp1	1276.53	66.35	35	18568784
747307	sp1	1262.43	58.94	35.61	21808480
779339	sp1	1279.94	67.13	35.27	18507232
786941	sp1	1262.15	61.88	35.71	20371028
789846	sp1	1261.23	60.18	35.55	21625616
814392	sp1	1261.60	57.61	35.85	21295832
860205	sp1	1352.51	66.18	36.25	19070276
871472	sp1	1384.73	62.72	36.48	20101544
873807	sp1	1393.08	60.55	36.03	21265140
876905	sp1	1384.82	63.86	35.95	19608176
881708	sp1	1386.01	59.29	35.26	19297212
887880	sp1	1385.81	56.64	35.64	19474184
888325	sp1	1390.45	70.93	36.46	22522744
895765	sp1	1424.80	57.96	37.37	22699132
909750	sp1	1443.56	65.44	37.35	22013124
921359	sp1	1421.72	55.31	37.15	22910008
921882	sp1	1445.19	61.20	36.58	19426740
931022	sp1	1438.25	53.38	36.26	21189192
940334	sp1	1451.44	59.28	36.92	19827660
962623	sp1	1556.26	69.12	38.48	25948236
977157	sp1	1573.83	75.49	38.06	22973172
996997	sp1	1589.85	70.75	38.59	22837428
1013448	sp1	1580.71	68.36	37.13	23011972
1019599	sp1	1575.19	64.73	38.45	26274860
1024544	sp1	1587.06	73.58	38.21	22597616
1034438	sp1	1592.30	65.82	38.16	22873660
1048776	sp1	1829.41	85.78	41.3	27006704
1052342	sp1	1834.34	77.34	40.37	26848760
1054320	sp1	1846.52	79.65	41.14	27918968
1061054	sp1	1817.02	86.05	40.37	28570544
1074969	sp1	1810.45	82.26	41.57	30491144
1090178	sp1	1823.59	76.35	40.35	28162592
1096062	sp1	1838.92	77.35	41.5	28791356
1097584	sp1	1823.73	83.71	40.77	26993500
1112434	sp1	1842.86	69.44	42.15	31860652
1151125	sp1	1848.49	78.69	40.14	27441016
1173378	sp1	1837.46	88.53	41.65	28703076
1173839	sp1	1848.88	81.34	42.01	27750380
1179520	sp1	1830.38	78.43	41.89	32248428
1191376	sp1	1854.42	74.59	41	28711252
1285158	sp1	1935.11	78.83	42.95	32441028
1286032	sp1	1955.85	81.06	41.54	27684964
1290848	sp1	1953.24	83.51	42.95	28829924
1330681	sp1	2007.31	86.02	41.68	27684636
1344806	sp1	1996.14	82.39	43.54	33268616
1374811	sp1	2132.26	102.14	43.85	31220956
1397490	sp1	2166.08	88.72	44.91	31666472
1473946	sp1	2393.29	116.33	47.32	37769512
1519300	sp1	2399.24	86.25	46.45	37855324
1580412	sp1	2399.73	96.05	47.45	38198888
1694914	sp1	2504.84	115.22	47.92	36584252
1704419	sp1	2521.95	111.45	47.33	35851416
1754794	sp1	2586.29	86.39	48.15	35564292
1757871	sp1	2576.12	119.95	48.94	39351932
1773933	sp1	2572.68	102.75	49.05	38541496
1778693	sp1	2582.92	116.08	49.33	39411948
1795612	sp1	2677.72	128.08	50.96	44004320
1834564	sp1	2727.74	111.59	49.59	39507960
2036419	sp1	2990.40	115.06	53.46	45402128
