5856	ceno	518.91	40.79	18.84
5885	ceno	540.78	41.95	18.72
5896	ceno	542.84	37.61	18.98
5946	ceno	525.36	42.97	19.02
5955	ceno	526.05	45.04	18.78
5961	ceno	533.36	40.31	19.27
6013	ceno	535.52	45.99	20.26
6055	ceno	544.34	41.66	19.49
6081	ceno	529.61	44.17	20.01
6138	ceno	532.16	41.33	19.31
6176	ceno	524.19	40.04	18.72
6213	ceno	528.70	44.43	20.06
6244	ceno	524.49	41.98	19.14
6248	ceno	541.40	40.61	19.55
6276	ceno	547.68	44.53	19.13
6289	ceno	547.04	41.67	18.99
6301	ceno	542.85	40.05	18.61
6366	ceno	532.65	44.27	19.67
6369	ceno	540.36	43.11	18.94
6382	ceno	543.42	38.88	19.45
6399	ceno	550.39	39.11	19.6
6434	ceno	532.67	42.69	18.86
6444	ceno	553.75	42.21	19.77
6463	ceno	545.77	44.15	19.43
6467	ceno	534.83	45.62	19.73
6474	ceno	551.39	39.57	18.96
6489	ceno	539.56	44.68	19.74
6492	ceno	546.19	44.05	19.33
6499	ceno	543.92	40.86	19.44
6506	ceno	534.06	41.50	19.35
6517	ceno	535.63	44.51	19.43
6548	ceno	550.78	44.49	19.04
6550	ceno	529.16	39.26	18.95
6554	ceno	548.95	41.96	19.5
6587	ceno	550.95	43.03	19.07
6708	ceno	552.86	42.21	19.3
6736	ceno	531.14	42.42	19.66
6738	ceno	557.41	38.39	19.94
6741	ceno	558.61	38.93	19.39
6746	ceno	557.42	46.72	20.51
6774	ceno	537.97	43.38	19.37
6881	ceno	554.70	47.87	19.52
6883	ceno	553.30	46.57	19.95
6905	ceno	564.69	43.47	20.28
6907	ceno	567.14	44.03	19.46
6949	ceno	583.13	41.69	20.17
6950	ceno	566.59	44.03	19.42
6991	ceno	577.11	45.08	20.32
7061	ceno	568.09	42.58	19.6
7083	ceno	578.46	43.52	19.63
7141	ceno	559.65	40.93	19.46
7150	ceno	574.34	39.75	20.08
7169	ceno	561.19	44.80	19.56
7172	ceno	581.99	44.13	19.81
7259	ceno	574.39	43.49	52.59
7294	ceno	591.23	43.75	19.72
7305	ceno	565.61	41.57	19.65
7339	ceno	565.47	45.42	20.11
7349	ceno	575.79	42.76	20.63
7357	ceno	580.15	43.18	20.83
7485	ceno	577.42	45.10	19.67
7495	ceno	586.41	41.11	19.86
7529	ceno	570.78	44.62	19.46
7614	ceno	574.93	43.33	19.65
7630	ceno	576.16	42.77	20.55
7649	ceno	576.98	40.36	19.99
7664	ceno	570.89	44.38	19.78
7673	ceno	574.97	40.82	20.46
7692	ceno	576.97	44.89	20.65
7703	ceno	26.67	1.42	9.23
7744	ceno	565.83	44.81	20
7749	ceno	596.34	46.65	20.67
7759	ceno	568.67	41.51	19.72
7784	ceno	562.54	48.94	19.76
7813	ceno	564.55	43.78	19.54
7893	ceno	582.99	44.24	19.77
7903	ceno	573.77	44.29	20.44
7928	ceno	584.44	43.55	19.77
8054	ceno	574.56	41.86	20.02
8063	ceno	571.27	45.80	19.71
8119	ceno	578.31	43.03	20.29
8136	ceno	582.88	43.02	20.36
8153	ceno	591.52	42.43	20.46
8160	ceno	592.92	45.66	20.34
8171	ceno	576.59	45.21	20.52
8187	ceno	576.99	44.85	20.44
8305	ceno	570.17	47.61	20.44
8331	ceno	606.15	47.34	20.94
8333	ceno	580.31	47.47	20.61
8337	ceno	573.78	43.30	20.42
8354	ceno	570.15	49.66	20.18
8402	ceno	569.50	48.34	20.35
8416	ceno	593.24	41.73	20.06
8445	ceno	575.99	44.93	19.7
8502	ceno	609.78	47.33	20.96
8505	ceno	605.37	44.63	20.37
8532	ceno	622.76	47.80	21.02
8591	ceno	620.69	46.15	21.64
8630	ceno	624.16	41.67	21.45
8642	ceno	617.23	43.94	21.18
8698	ceno	637.36	44.35	20.95
8736	ceno	609.69	48.56	21.38
8743	ceno	632.16	46.37	20.86
8746	ceno	612.64	48.43	21.07
8764	ceno	615.09	48.75	21.27
8781	ceno	634.27	50.54	21.93
8832	ceno	614.34	46.35	20.99
8879	ceno	624.93	52.52	21.45
8893	ceno	620.60	40.36	21.51
8919	ceno	620.94	45.87	21.61
8939	ceno	614.63	45.87	21.54
8979	ceno	613.66	51.68	21.66
8981	ceno	618.65	46.97	20.69
8992	ceno	636.50	43.98	21.13
8997	ceno	609.57	50.43	21.74
9010	ceno	633.30	49.78	21.72
9019	ceno	609.65	44.28	21.29
9050	ceno	621.95	50.37	20.95
9069	ceno	616.81	45.21	21.52
9077	ceno	616.60	48.89	21.34
9288	ceno	627.16	46.33	21.54
9318	ceno	632.06	44.27	21.63
9335	ceno	633.45	42.26	20.97
9359	ceno	609.26	45.35	20.88
9405	ceno	611.29	45.07	20.77
9435	ceno	610.29	46.92	21.19
9459	ceno	613.46	49.74	21.25
9505	ceno	618.18	45.24	21.56
9525	ceno	640.06	48.90	21.82
9631	ceno	670.25	46.92	22.12
9644	ceno	654.73	48.17	22.56
9679	ceno	663.64	49.53	22.72
9691	ceno	659.36	52.52	22.4
9694	ceno	663.51	49.46	21.71
9697	ceno	661.67	45.72	22.44
9702	ceno	664.37	50.46	22.19
9706	ceno	653.60	46.64	21.99
9741	ceno	673.24	48.49	22.4
9773	ceno	646.12	47.03	21.57
9781	ceno	660.09	49.96	22.1
9806	ceno	647.93	44.82	21.79
9806	ceno	677.04	48.76	22.79
9837	ceno	671.16	47.01	22.68
9846	ceno	659.51	46.38	22.67
9896	ceno	693.35	47.96	22.64
9930	ceno	666.34	48.41	22.8
9953	ceno	694.43	51.94	22.99
10007	ceno	667.01	47.88	22.66
10053	ceno	697.63	49.76	22.56
10056	ceno	688.94	47.13	23.54
10097	ceno	679.80	48.05	22.14
10160	ceno	682.23	48.25	22.1
10234	ceno	706.24	50.32	22.99
10251	ceno	712.70	52.43	23.06
10265	ceno	718.29	48.81	23.53
10278	ceno	712.97	50.11	23.42
10315	ceno	712.16	45.75	23.13
10328	ceno	739.62	50.78	24.26
10371	ceno	711.75	47.86	23.48
10423	ceno	732.11	51.06	24.08
10439	ceno	716.51	50.24	23.21
10447	ceno	729.29	48.40	23.07
10460	ceno	726.70	49.11	23.9
10484	ceno	710.91	52.78	23.66
10493	ceno	712.23	52.02	24.8
10505	ceno	712.82	51.25	23.26
10508	ceno	713.15	47.51	22.93
10545	ceno	717.59	52.94	23.52
10554	ceno	719.83	51.55	23.4
10565	ceno	728.38	45.83	23.84
10581	ceno	720.56	52.55	23.8
10597	ceno	718.82	48.98	22.89
10602	ceno	710.35	47.69	22.88
10633	ceno	734.59	48.36	23.44
10661	ceno	724.81	54.58	23.7
10668	ceno	727.29	52.78	24.09
10676	ceno	732.37	52.01	23.81
10694	ceno	723.40	51.52	23.91
10696	ceno	724.54	52.68	23.61
10789	ceno	729.90	53.24	24.18
10800	ceno	733.49	52.89	23.94
10852	ceno	755.17	49.94	24.65
10900	ceno	765.42	51.96	24.66
10927	ceno	749.89	55.35	24.27
10947	ceno	767.97	48.69	23.91
11014	ceno	750.87	55.29	24.41
11027	ceno	783.10	50.94	24.17
11071	ceno	764.76	48.08	23.82
11073	ceno	750.10	52.26	23.69
11085	ceno	761.83	49.45	24.21
11146	ceno	760.82	49.89	24.57
11193	ceno	780.24	54.03	25.2
11196	ceno	765.67	51.94	24.12
11223	ceno	763.34	57.06	24.74
11225	ceno	750.53	51.03	23.85
11258	ceno	768.02	54.75	24.28
11301	ceno	755.03	52.10	24.26
11307	ceno	755.47	55.53	24.62
11327	ceno	752.09	53.55	24.78
11333	ceno	752.83	51.40	24.29
11352	ceno	784.45	53.58	24.4
11420	ceno	767.94	53.53	50
11426	ceno	771.82	49.99	23.93
11500	ceno	768.22	51.35	24.26
11504	ceno	757.71	55.55	23.92
11512	ceno	769.35	51.34	24.82
11546	ceno	766.95	51.12	24.15
11547	ceno	775.98	52.18	23.88
11589	ceno	755.07	53.49	24.92
11643	ceno	781.16	58.59	24.7
11647	ceno	760.85	55.15	24.44
11686	ceno	794.30	60.28	25.75
11770	ceno	789.63	53.41	25.1
11773	ceno	776.11	53.28	24.99
11802	ceno	771.60	53.71	24.05
11805	ceno	776.07	51.71	24.88
